Domain,Area,Element,Item,Year,Unit,Value,Flag,Flag Description
"Supply Utilization Accounts (2010-)","Malaysia","Export Quantity","Hen eggs in shell, fresh","2021","t","114239.15","A","Official figure"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2012","t","25771","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2013","t","27360","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2014","t","29106.23","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2015","t","31174.37","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2016","t","32829.96","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2017","t","33808.51","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2018","t","32209.72","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2019","t","26193.36","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2020","t","32275.09","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Loss","Hen eggs in shell, fresh","2021","t","32519.64","I","Imputed value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2012","t","353.85","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2013","t","410.59","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2014","t","530","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2015","t","470","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2016","t","400","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2017","t","650","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2018","t","750","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2019","t","1000","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2020","t","900","E","Estimated value"
"Supply Utilization Accounts (2010-)","Malaysia","Processed","Hen eggs in shell, fresh","2021","t","1450","E","Estimated value"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2012","t","56","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2013","t","9","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2014","t","14.22","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2015","t","9.89","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2016","t","6.03","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2017","t","0.32","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2018","t","3.26","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2019","t","5.05","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2020","t","2.75","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Eggs from other birds in shell, fresh, n.e.c.","2021","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2012","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2013","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2014","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2015","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2016","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2017","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2018","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2019","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2020","","","",""
"Supply Utilization Accounts (2010-)","Peru","Loss","Eggs from other birds in shell, fresh, n.e.c.","2021","","","",""
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2012","t","4824","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2013","t","5188","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2014","t","5959.92","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2015","t","3353.42","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2016","t","2580.25","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2017","t","1097.98","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2018","t","489.85","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2019","t","86.55","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2020","t","42.21","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Export Quantity","Hen eggs in shell, fresh","2021","t","12.18","A","Official figure"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2012","t","44388.76","E","Estimated value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2013","t","49448.03","E","Estimated value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2014","t","50707.77","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2015","t","54613.7","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2016","t","56695.71","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2017","t","58725.6","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2018","t","63942.72","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2019","t","69119.78","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2020","t","70371.34","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Loss","Hen eggs in shell, fresh","2021","t","71296.78","I","Imputed value"
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2012","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2013","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2014","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2015","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2016","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2017","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2018","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2019","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2020","","","",""
"Supply Utilization Accounts (2010-)","Peru","Processed","Hen eggs in shell, fresh","2021","","","",""
